,tweet_text,tweet_id,tweet_created_at,tweet_public_metrics,tweet_in_reply_to_user_id,tweet_conversation_id,tweet_lang,tweet_context_annotations,author_id,author_name,author_username,author_created_at,author_description,author_entities,author_location,author_is_protected,author_is_verified,author_profile_image_url,author_public_metrics,media_key,media_type,media_duration_ms,media_height,media_width,media_preview_image_url,media_alt_text,media_view_count
0,@lopretelovers 😉❤️,1600219300262211585,2022-12-06 20:03:06,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 51, 'quote_count': 0}",1.4100427820147057e+18,1600215011376254976,und,[],51885263,Renata Lo Prete,renataloprete,2009-06-28 23:43:02,Jornalista. Âncora do @JornalDaGlobo.,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/9GsNFHnNzb', 'expanded_url': 'http://g1.globo.com/globo-news', 'display_url': 'g1.globo.com/globo-news'}]}, 'description': {'mentions': [{'start': 22, 'end': 36, 'username': 'JornalDaGlobo'}]}}",São Paulo - SP,False,True,https://pbs.twimg.com/profile_images/1236682747529383936/lLNYVqja_normal.jpg,"{'followers_count': 659068, 'following_count': 2060, 'tweet_count': 20431, 'listed_count': 1859}",,,,,,,,
1,"Ontem (5/12/2022) tive o prazer de ser o entrevistado do programa RODA VIVA da tv cultura. 
a entrevista completa você assiste no link: https://t.co/vTdKdmiIj9 https://t.co/pDRkEwx52u",1600111994471780352,2022-12-06 12:56:42,"{'retweet_count': 2, 'reply_count': 3, 'like_count': 55, 'quote_count': 0}",,1600111994471780352,pt,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '1248261607831924742', 'name': 'Roda Viva'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1072937043393560576', 'name': 'Television', 'description': 'Television'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1276514328007467008', 'name': 'Movies & TV'}}]",15230805,Fernando Gabeira,gabeiracombr,2008-06-25 13:21:16,Jornalista,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/E0P0rFCetl', 'expanded_url': 'http://www.gabeira.com.br', 'display_url': 'gabeira.com.br'}]}}","Rio de Janeiro, Brasil",False,False,https://pbs.twimg.com/profile_images/650008220916957184/dHUS18Mo_normal.png,"{'followers_count': 277229, 'following_count': 19221, 'tweet_count': 6324, 'listed_count': 2395}",3_1600111910552276993,,,450.0,900.0,,,
2,@pires_jos @JornalDaGlobo 🌹🙏🏻,1600000551692877824,2022-12-06 05:33:52,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",322365402.0,1599976416342409216,und,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10028739924', 'name': 'Jornal da Globo', 'description': 'O telejornal cobre os fatos do dia e as últimas notícias da noite. Conta com a colaboração de colunistas em áreas como economia e cultura.'}}]",51885263,Renata Lo Prete,renataloprete,2009-06-28 23:43:02,Jornalista. Âncora do @JornalDaGlobo.,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/9GsNFHnNzb', 'expanded_url': 'http://g1.globo.com/globo-news', 'display_url': 'g1.globo.com/globo-news'}]}, 'description': {'mentions': [{'start': 22, 'end': 36, 'username': 'JornalDaGlobo'}]}}",São Paulo - SP,False,True,https://pbs.twimg.com/profile_images/1236682747529383936/lLNYVqja_normal.jpg,"{'followers_count': 659068, 'following_count': 2060, 'tweet_count': 20431, 'listed_count': 1859}",,,,,,,,
3,@LuanRio3 @JornalDaGlobo 🌹,1600000496877522944,2022-12-06 05:33:39,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1.2882375463680983e+18,1599976416342409216,und,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10028739924', 'name': 'Jornal da Globo', 'description': 'O telejornal cobre os fatos do dia e as últimas notícias da noite. Conta com a colaboração de colunistas em áreas como economia e cultura.'}}]",51885263,Renata Lo Prete,renataloprete,2009-06-28 23:43:02,Jornalista. Âncora do @JornalDaGlobo.,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/9GsNFHnNzb', 'expanded_url': 'http://g1.globo.com/globo-news', 'display_url': 'g1.globo.com/globo-news'}]}, 'description': {'mentions': [{'start': 22, 'end': 36, 'username': 'JornalDaGlobo'}]}}",São Paulo - SP,False,True,https://pbs.twimg.com/profile_images/1236682747529383936/lLNYVqja_normal.jpg,"{'followers_count': 659068, 'following_count': 2060, 'tweet_count': 20431, 'listed_count': 1859}",,,,,,,,
4,@LucianeAlencar8 @choquei 🌹,1599832184315338752,2022-12-05 18:24:50,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1.5375517672772813e+18,1598466183174717440,und,[],51885263,Renata Lo Prete,renataloprete,2009-06-28 23:43:02,Jornalista. Âncora do @JornalDaGlobo.,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/9GsNFHnNzb', 'expanded_url': 'http://g1.globo.com/globo-news', 'display_url': 'g1.globo.com/globo-news'}]}, 'description': {'mentions': [{'start': 22, 'end': 36, 'username': 'JornalDaGlobo'}]}}",São Paulo - SP,False,True,https://pbs.twimg.com/profile_images/1236682747529383936/lLNYVqja_normal.jpg,"{'followers_count': 659068, 'following_count': 2060, 'tweet_count': 20431, 'listed_count': 1859}",,,,,,,,
5,@SanJoan607 @choquei 🌹,1599832079272792064,2022-12-05 18:24:25,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",90637126.0,1598466183174717440,und,[],51885263,Renata Lo Prete,renataloprete,2009-06-28 23:43:02,Jornalista. Âncora do @JornalDaGlobo.,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/9GsNFHnNzb', 'expanded_url': 'http://g1.globo.com/globo-news', 'display_url': 'g1.globo.com/globo-news'}]}, 'description': {'mentions': [{'start': 22, 'end': 36, 'username': 'JornalDaGlobo'}]}}",São Paulo - SP,False,True,https://pbs.twimg.com/profile_images/1236682747529383936/lLNYVqja_normal.jpg,"{'followers_count': 659068, 'following_count': 2060, 'tweet_count': 20431, 'listed_count': 1859}",,,,,,,,
6,@deboanolago @brendasafra 🌹🌹🌹,1599832024944357376,2022-12-05 18:24:12,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",1.0047666830038508e+18,1598479383366352898,und,[],51885263,Renata Lo Prete,renataloprete,2009-06-28 23:43:02,Jornalista. Âncora do @JornalDaGlobo.,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/9GsNFHnNzb', 'expanded_url': 'http://g1.globo.com/globo-news', 'display_url': 'g1.globo.com/globo-news'}]}, 'description': {'mentions': [{'start': 22, 'end': 36, 'username': 'JornalDaGlobo'}]}}",São Paulo - SP,False,True,https://pbs.twimg.com/profile_images/1236682747529383936/lLNYVqja_normal.jpg,"{'followers_count': 659068, 'following_count': 2060, 'tweet_count': 20431, 'listed_count': 1859}",,,,,,,,
7,@osergioB5 ❤️❤️❤️,1599831893804883968,2022-12-05 18:23:41,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 7, 'quote_count': 0}",55635103.0,1599761638004953088,und,[],51885263,Renata Lo Prete,renataloprete,2009-06-28 23:43:02,Jornalista. Âncora do @JornalDaGlobo.,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/9GsNFHnNzb', 'expanded_url': 'http://g1.globo.com/globo-news', 'display_url': 'g1.globo.com/globo-news'}]}, 'description': {'mentions': [{'start': 22, 'end': 36, 'username': 'JornalDaGlobo'}]}}",São Paulo - SP,False,True,https://pbs.twimg.com/profile_images/1236682747529383936/lLNYVqja_normal.jpg,"{'followers_count': 659068, 'following_count': 2060, 'tweet_count': 20431, 'listed_count': 1859}",,,,,,,,
8,@democracia_ubt 🌹,1599831786091032576,2022-12-05 18:23:15,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1.5799611178116383e+18,1599779868572807168,und,[],51885263,Renata Lo Prete,renataloprete,2009-06-28 23:43:02,Jornalista. Âncora do @JornalDaGlobo.,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/9GsNFHnNzb', 'expanded_url': 'http://g1.globo.com/globo-news', 'display_url': 'g1.globo.com/globo-news'}]}, 'description': {'mentions': [{'start': 22, 'end': 36, 'username': 'JornalDaGlobo'}]}}",São Paulo - SP,False,True,https://pbs.twimg.com/profile_images/1236682747529383936/lLNYVqja_normal.jpg,"{'followers_count': 659068, 'following_count': 2060, 'tweet_count': 20431, 'listed_count': 1859}",,,,,,,,
9,"Artigo de hoje (05), no jornal O Globo.
 https://t.co/Rqfjxt4IzU https://t.co/oTMp5j35OK",1599735001620180993,2022-12-05 11:58:40,"{'retweet_count': 8, 'reply_count': 1, 'like_count': 26, 'quote_count': 0}",,1599735001620180993,pt,[],15230805,Fernando Gabeira,gabeiracombr,2008-06-25 13:21:16,Jornalista,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/E0P0rFCetl', 'expanded_url': 'http://www.gabeira.com.br', 'display_url': 'gabeira.com.br'}]}}","Rio de Janeiro, Brasil",False,False,https://pbs.twimg.com/profile_images/650008220916957184/dHUS18Mo_normal.png,"{'followers_count': 277229, 'following_count': 19221, 'tweet_count': 6324, 'listed_count': 2395}",3_1599734949862690817,,,360.0,980.0,,,
